Codage,_id,actionType,creationDate,date,game_id,group_id,grpus_id,help,id,isWon,item_id,item_size,level_id,logType,message,mode_of_use,reason,resourceType,resourceTypeMoU,resource_id,resource_size,resource_title,rightsAgreements,user_id
,6267a0cf98c0f1a79ae3d8db,showItemCUPBOARD,2013,31/03/2015 09:20:30,63,8,8,,3117,true,310,9,2,showItemCUPBOARD,,,,book,book,35,"/1 vol., (367 p.)","L'instrume","Droits d'auteur",26
H,6267a0cf98c0f1a79ae3d8dd,chat,,31/03/2015 09:20:48,63,8,8,,3119,true,,,2,chat,"Pas de problème avec les photocopies pour les journaux d'information.",,,,,,/,,,27
O,6267a0cf98c0f1a79ae3d8df,chat,,31/03/2015 09:20:55,63,8,8,,3121,true,,,2,chat,"ca a l'air...",,,,,,/,,,26
,6267a0cf98c0f1a79ae3d8e0,addToFridge,1890,31/03/2015 09:21:07,63,8,8,,3122,true,524,intégrale,2,addToFridge,,assessments,,journal,journalassessments,112,/,Éducation,Domaine public,27
,6267a0cf98c0f1a79ae3d8e1,showItemTAMAGO,2013,31/03/2015 09:21:08,63,8,8,,3123,true,383,15 s,2,showItem,,digitalMedia,"Sous droits d'auteur",sound,sounddigitalMedia,303,120 m/,"Chefs d'oe","Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8e2,showItemCUPBOARD,2011,31/03/2015 09:21:14,63,8,8,,3124,true,412,Intégrale,2,showItemCUPBOARD,,,,sound,sound,313,3 min/,Rolling in,"Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8e3,showItemTAMAGO,2013,31/03/2015 09:21:31,63,8,8,,3125,true,383,15 s,2,showItem,,digitalMedia,"Sous droits d'auteur",sound,sounddigitalMedia,303,120 m/,"Chefs d'oe","Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8e4,showItemCUPBOARD,2006,31/03/2015 09:21:39,63,8,8,,3126,true,402,3 min,2,showItemCUPBOARD,,,,sound,sound,309,3 min/,"J'attends",Creative Commons,26
H,6267a0cf98c0f1a79ae3d8e5,chat,,31/03/2015 09:21:40,63,8,8,,3127,true,,,2,chat,"Essayons le Journal de l'enseignement primaire en sujets d'examen. Cela pourrait convenir pour ce type de diffusion. Qu'en penses-tu?",,,,,,/,,,27
,6267a0cf98c0f1a79ae3d8e6,showItemCUPBOARD,2006,31/03/2015 09:21:43,63,8,8,,3128,true,403,Intégrale,2,showItemCUPBOARD,,,,sound,sound,309,3 min/,"J'attends",Creative Commons,26
,6267a0cf98c0f1a79ae3d8e7,showItemCUPBOARD,2006,31/03/2015 09:21:48,63,8,8,,3129,true,402,3 min,2,showItemCUPBOARD,,,,sound,sound,309,3 min/,"J'attends",Creative Commons,26
,6267a0cf98c0f1a79ae3d8e8,helpLink,,31/03/2015 09:21:51,63,8,8,Accès aide en ligne,3130,true,,,2,helpLink,,,,,,,/,,,27
,6267a0cf98c0f1a79ae3d8e9,HelpLink,,31/03/2015 09:21:54,63,8,8,"Synthèse exception pédagogique - Livres, Périodiqu",3131,true,,,2,HelpLink,,,,,,,/,,,27
O,6267a0cf98c0f1a79ae3d8ea,chat,,31/03/2015 09:21:59,63,8,8,,3132,true,,,2,chat,je pense que oui...,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d8eb,showItemCUPBOARD,2011,31/03/2015 09:22:13,63,8,8,,3133,true,411,25 s,2,showItemCUPBOARD,,,,sound,sound,313,3 min/,Rolling in,"Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8ec,showItemCUPBOARD,2011,31/03/2015 09:22:18,63,8,8,,3134,true,412,Intégrale,2,showItemCUPBOARD,,,,sound,sound,313,3 min/,Rolling in,"Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8ed,feedTamagoGood,1890,31/03/2015 09:22:20,63,8,8,,3135,true,524,intégrale,2,feedTamago,,assessments,,journal,journalassessments,112,/,Éducation,Domaine public,27
,6267a0cf98c0f1a79ae3d8ee,addToFridge,2011,31/03/2015 09:22:29,63,8,8,,3136,true,411,25 s,2,addToFridge,,digitalMedia,"Sous droits d'auteur",sound,sounddigitalMedia,313,3 min/,Rolling in,"Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8ef,showItemFRIDGE,2011,31/03/2015 09:22:30,63,8,8,,3137,true,411,25 s,2,showItemFRIDGE,,digitalMedia,"Sous droits d'auteur",sound,sounddigitalMedia,313,3 min/,Rolling in,"Droits d'auteur",26
OJ,6267a0cf98c0f1a79ae3d8f0,chat,,31/03/2015 09:22:31,63,8,8,,3138,true,,,2,chat,"Je crois qu'il m'aime.",,,,,,/,,,27
,6267a0cf98c0f1a79ae3d8f1,showItemCUPBOARD,2003,31/03/2015 09:22:45,63,8,8,,3139,true,127,intégrale,2,showItemCUPBOARD,,,,book,book,1,/1 vol. (206 p.),"L'illusion","Droits d'auteur CFC",27
OJ,6267a0cf98c0f1a79ae3d8f2,chat,,31/03/2015 09:22:46,63,8,8,,3140,true,,,2,chat,"j'ai moins de succès on dirait...",,,,,,/,,,26
