id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
354;2000-01-01 00:33:32;feedTamagoGood;20;56;printedmusicphotocopy;;516
355;2000-01-01 00:33:35;addToFridge;20;57;bookassessments;;7
356;2000-01-01 00:33:35;showItemCUPBOARD;20;56;printedmusic;;528
357;2000-01-01 00:33:36;feedTamagoGood;20;57;bookassessments;;7
358;2000-01-01 00:33:39;showItemCUPBOARD;20;56;printedmusic;;526
359;2000-01-01 00:33:39;showItemCUPBOARD;20;57;printedmusic;;526
360;2000-01-01 00:33:47;showItemCUPBOARD;20;56;printedmusic;;516
361;2000-01-01 00:33:49;showItemCUPBOARD;20;57;journal;;103
362;2000-01-01 00:33:51;showItemCUPBOARD;20;56;printedmusic;;528
363;2000-01-01 00:33:52;showItemCUPBOARD;20;55;image;;409
364;2000-01-01 00:33:54;showItemCUPBOARD;20;57;video;;225
365;2000-01-01 00:33:56;showItemCUPBOARD;20;56;printedmusic;;528
366;2000-01-01 00:33:58;showItemCUPBOARD;20;57;image;;410
367;2000-01-01 00:34:06;showItemCUPBOARD;20;57;book;;17
368;2000-01-01 00:34:12;addToFridge;20;56;printedmusicintranet;;528
369;2000-01-01 00:34:13;addToFridge;20;57;bookphotocopy;;17
370;2000-01-01 00:34:15;feedTamagoBad;20;56;printedmusicintranet;;528
371;2000-01-01 00:34:16;feedTamagoGood;20;57;bookphotocopy;;17
372;2000-01-01 00:34:17;addToFridge;20;55;imagedigitalMedia;;409
373;2000-01-01 00:34:20;feedTamagoGood;20;55;imagedigitalMedia;;409
374;2000-01-01 00:34:26;showItemCUPBOARD;20;57;journal;;113
375;2000-01-01 00:34:26;showItemCUPBOARD;20;56;video;;225
376;2000-01-01 00:34:29;showItemCUPBOARD;20;55;video;;225
377;2000-01-01 00:34:31;showItemCUPBOARD;20;57;image;;401
378;2000-01-01 00:34:34;showItemCUPBOARD;20;57;image;;406
379;2000-01-01 00:34:38;showItemCUPBOARD;20;57;image;;406
380;2000-01-01 00:34:38;showItemCUPBOARD;20;56;video;;207
381;2000-01-01 00:34:39;showItemCUPBOARD;20;55;video;;207
382;2000-01-01 00:34:48;showItemCUPBOARD;20;55;sound;;333
383;2000-01-01 00:34:54;addToFridge;20;57;imageintranet;;406
384;2000-01-01 00:34:56;feedTamagoBad;20;57;imageintranet;;406
385;2000-01-01 00:35:00;showItemCUPBOARD;20;56;image;;410
386;2000-01-01 00:35:01;showItemCUPBOARD;20;57;journal;;100
387;2000-01-01 00:35:07;showItemCUPBOARD;20;57;journal;;120
388;2000-01-01 00:35:10;addToFridge;20;55;sounddigitalMedia;;333
389;2000-01-01 00:35:13;feedTamagoBad;20;55;sounddigitalMedia;;333
390;2000-01-01 00:35:14;showItemCUPBOARD;20;57;journal;;120
391;2000-01-01 00:35:14;showItemCUPBOARD;20;56;journal;;113
392;2000-01-01 00:35:27;showItemCUPBOARD;20;55;sound;;306
393;2000-01-01 00:35:31;addToFridge;20;57;journaldigitalMedia;;120
